Author	Content	Date	Language	Location	Number of Likes	Number of Retweets	In Reply To	Author Name	Author Description	Author Statuses Count	Author Favourites Count	Author Friends Count	Author Followers Count	Author Listed Count	Author Verified	Longitude	Latitude
discrete	string	time	discrete	discrete	continuous	continuous	discrete	discrete	string	continuous	continuous	continuous	continuous	continuous	discrete	continuous	continuous
class	meta title=True	meta	meta	meta	meta	meta	meta	meta	meta	meta	meta	meta	meta	meta	meta	meta	meta
@Fesuc_Chile	"Chile en la mira de la OCDE: COVID-19 ha dejado de manifiesto en el país “niveles de desigualdad sin precedentes”.
https://t.co/yVFOtONZrk"	2020-07-20 16:55:55	es		0.0	0.0		FESUC	Federación de Supervisores del Cobre, 25 años trabajando por mejorar las condiciones laborales de las y los profesionales de la minería en Chile.	5970.0	370.0	594.0	1764.0	15.0	False		
@Veica_	"Os recuerdo que no se conocen las secuelas que puede dejar el COVID 19...
https://t.co/4SjhWaKE6P"	2020-07-20 16:55:55	es		0.0	0.0		Verónica🇪🇸	Lectora, viajera, creadora, artesana.	3813.0	4881.0	396.0	145.0	2.0	False		
@lolaguico	Catalunya ignora el 75% de los contactos de los casos de covid-19 https://t.co/hoWuvF4KSw	2020-07-20 16:55:55	es		0.0	0.0		lola guico/❤️		10411.0	5540.0	231.0	220.0	0.0	False		
@StarwalkLucifer	Creen en el empacho, pero todavía no terminan de creer en el COVID-19.	2020-07-20 16:55:54	es		0.0	0.0		𝓛𝓾𝓬𝓲𝓯𝓮𝓻 𝓜𝓸𝓻𝓷𝓲𝓷𝓰𝓼𝓽𝓪𝓻 🔥 ༒	#HombreLey nacido bajo el signo de Virgo| Lo admito: soy egocéntrico, hedonista, narcisista, vanidoso, insoportable, canalla y mujeriego| Fortis fortuna adiuvat	24654.0	32141.0	4772.0	12328.0	11.0	False		
@AccionSocialCue	"@FarmasolEp @MunicipioCuenca @hospitalcuenca @pedropalaciosu @ConsejoSalud_ Hoy, nuestro psicólogo Fabián Cornejo estará en vivo para hablar del COVID-19, una perspectiva desde la psicología. 

¡Te esperamos! 👆🏽"	2020-07-20 16:55:54	es		0.0	0.0	@FarmasolEp	Acción Social Cuenca		5067.0	4042.0	2133.0	3844.0	4.0	False		
@radioprogresogt	El Instituto Nacional de Bosques #INAB da a conocer a sus colaboradores, colaboradoras, usuarias, usuarios y a la población en general la actualización de casos COVID-19 reportados dentro de la Institución.… https://t.co/CSQ1m7Jwyw	2020-07-20 16:55:53	es		0.0	0.0		Radio Progreso Guatemala	"Sintonizanos en:  
📻580AM
📱 Descargando la App:
*Tunein Radio
*Simple Radio
🔎busca Radio Progreso Guatemala"	9507.0	9.0	360.0	266.0	2.0	False		
@DiarioInstante	#Internacionales | Guatemala rectifica datos de COVID-19 con aumento de casos positivos https://t.co/eIcHjjFXqc	2020-07-20 16:55:53	es		0.0	0.0		Diario Instante	Construimos la noticia en base a la realidad del pueblo salvadoreño, de manera honesta y transparente.	7329.0	61.0	225.0	1200.0	2.0	False		
@GretzaP	Ministerio de Salud Pública: ¡Cuba sin ningún nuevo caso de COVID-19! https://t.co/KK7ObJsXfm Via @Granma_Digital	2020-07-20 16:55:52	es		0.0	0.0		Gretza Sanchez Padron	Medico. Revolucionaria y Fidelista. Directora  Provincial de Salud en Villa Clara.	1403.0	4912.0	252.0	467.0	0.0	False		
@tvlapalma	"El Mercadillo del Agricultor de El Paso celebra este fin de semana una nueva edición de ‘MercaFest’ 📆
#ElPaso #MercaFestElPaso #Comercio #DesarrolloLocal #LaPalma  #Coronavirus #Covid_19 #Canarias #NuevaNormalidad  #TVLaPalma
https://t.co/xnoS8eSlTe https://t.co/0oDH94SJ4w"	2020-07-20 16:55:51	es		0.0	0.0		TV La Palma .com		17095.0	31.0	101.0	1492.0	17.0	False		
