Author	Content	Date	Language	Location	Number of Likes	Number of Retweets	In Reply To	Author Name	Author Description	Author Statuses Count	Author Favourites Count	Author Friends Count	Author Followers Count	Author Listed Count	Author Verified	Longitude	Latitude
discrete	string	time	discrete	discrete	continuous	continuous	discrete	discrete	string	continuous	continuous	continuous	continuous	continuous	discrete	continuous	continuous
class	meta title=True	meta	meta	meta	meta	meta	meta	meta	meta	meta	meta	meta	meta	meta	meta	meta	meta
@ACastroGuerrero	"#Irresponsables al volante
➡️multa
➡️pierden puntos del carnet o retirada
➡️si hay muertes, a la cárcel

Pues igual con los #irresponsables de la #COVID19
➡️multa
➡️si reinciden, dejarlos sin Sanidad en el tema #COVID
➡️si hay muertes, a la cárcel

🙏

#L6Nirresponsabilidadreal"	2020-08-08 19:37:38	es		0.0	0.0		Antonio Castro-Guerrero	"Padre.
#LaCentrocampistaMurióAlAmanecer,
Premio C.Matallanas de @afefutbol,
en @LibrosCupula y beneficios a @FUNDELA1.
(Último viaje de Sorolla, Premio Cáceres)"	916.0	1520.0	622.0	175.0	0.0	False		
@arreiT_aL_ramA	Qué pasó? 5 meses de confinamiento aún no son suficientes para entender? #COVID19 https://t.co/KfzaFuWxSc	2020-08-08 19:37:37	es		0.0	0.0		Javiera Castro V	"➡CatLover🐱
➡DogLover🐶
➡Desencajada en el tiempo"	2704.0	3243.0	762.0	433.0	0.0	False		
@AJosepepe	@isanidad Me parece que es una buena solución, cuanto más sea lo que se aporte al problema del covid19 mejor porque creo que la solución es científica y no política	2020-08-08 19:37:24	es		0.0	0.0	@isanidad	Jose A. B. J		41.0	2.0	105.0	2.0	0.0	False		
@CodigoQro	"🇧🇷 #SALUD Mientras la mayoría de las ciudades de Brasil han comenzado a reabrir tiendas y restaurantes, el país sudamericano llegó a las 100 mil muertes debido a la pandemia de #COVID19 😷
https://t.co/Yl2S1hulLE"	2020-08-08 19:37:20	es		0.0	0.0		CódigoQro	Medio Informativo	48278.0	33.0	3721.0	5000.0	52.0	False		
@FJSALAZARV	"...es criminal negarle la oportunidad de mantenerse protegidos de COVID19 a los presos, que por ser politicos podrían ser juzgados en libertad. 

@jguaido"	2020-08-08 19:37:20	es		0.0	0.0	@FJSALAZARV	FRANCISCO SALAZAR		1476.0	60.0	215.0	171.0	0.0	False		
@PedroHar__	"@Cs_Andalucia @EducaAnd @MarSanchezCs Que #MENTIROSOS sois. Llevamos 2 años con vosotros en el gobierno y no sacáis las vacantes informatizadas de verano para ahorraros los primeros días de septiembre.
Los 1800 refuerzo #COVID19 de Primaria no han salido aún y veremos a ver si finalmente lo sacáis
#ImbrodaDimision"	2020-08-08 19:37:12	es		1.0	1.0	@Cs_Andalucia	Pedro Har	Maestro de primaria en paro	4881.0	3519.0	284.0	269.0	1.0	False		
@QVEF3	Taburete rima con covid19	2020-08-08 19:37:08	es		0.0	0.0		QVEF, el pretendiente Trastámara	Estamos aquí por las risas y el cachondeo. Algún meme y muchos chistes malos. Paròdia, HOGUERA y mala baba altamente infecciosa. Cuarentena	15362.0	15625.0	579.0	430.0	5.0	False		
@SomosLaSele	| #SomosLaSele Gol panameño, Juan David Tejada anotó en el triunfo de Tampa Bay Rowdies. #Panamá #Gol #Concacaf #USL #Fútbol #COVID19  https://t.co/F30iQrnny2 a través de @somoslasele	2020-08-08 19:37:07	es		0.0	0.0		SomosLaSele	Cuenta oficial de https://t.co/dP7aAdBffk Página dedicada a todo lo que ocurre con el fútbol panameño. ¡Porque todos somos la Sele! #SomosLaSele	49223.0	4764.0	143.0	123119.0	233.0	True		
